"ï..URI";"Vase.Number";"Fabric";"Technique";"Sub.Technique";"Shape.Name";"Provenance";"Date";"Inscriptions";"Attributed.To";"Decoration";"Collection.Record";"Publication.Record";"Inscriptions.II";"Measurements";"Volume";"Weight";"Restorations";"Ornament";"Technical.Observations"
"http://www.beazley.ox.ac.uk/record/9E365125-69F8-4A47-A3D4-B8C8177582BA";9029372;"ATHENIAN";"BLACK-FIGURE";"";"CUP LITTLE MASTER LIP";"CYPRUS, NICOSIA";"";"";"TLESON P by GIUDICE, G";"A,B: UNDECORATED | I: COCK, FLORALS, LOTUS FLOWER, PALMETTE";"Nicosia, Cyprus Museum: 1997.IV.31.1 |";"Giudice, G. and Muscolino, F., Vasi Attici Corinzi Apuli a Cipro (Catania, 2012): PL.1.1-2 (I, A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/3535A7CC-0AC1-4C9F-9470-ED395AE09E49";29333;"ATHENIAN";"RED-FIGURE";"WHITE GROUND";"LEKYTHOS";"ITALY, GRAVINA";"-500 to -450";"";"";"BD: DOMESTIC, WOMAN WITH SASH AT KALATHOS, CHAIR";"Taranto, Museo Archeologico Nazionale: 128075 |";"Ciancio, A., Silbion, Una citta tra Greci e Indigeni (Bari, n.d.): 201, NO.203 (PARTS)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/A5C28596-E6E2-4B8A-985A-D9BB054F3C96";207349;"ATHENIAN";"RED-FIGURE";"";"FRAGMENT";"GREECE, BOEOTIA";"-475 to -425";"";"METHYSE P by BEAZLEY";"WOMAN";"Strasbourg, University: 772 |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 634.3";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/803B6A06-3CCC-4535-A600-16C0A30FF54D";9557;"ATHENIAN";"BLACK-FIGURE";"";"CUP LITTLE MASTER LIP";"";"-550 to -500";"";"";"A,B: UNDECORATED | I: GORGONEION";"Melbourne, University: MUV55 | Melbourne, University: 1979.0259";"Archaologischer Anzeiger: 1983, 24, FIGS.1-4 (I, A, B) | Connor, P. and Jackson, H., Greek Vases at The University of Melbourne (Melbourne, 2000): 115, NO.39 (A, I)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/944BE4FD-D521-43A5-8445-3797B95059C7";214199;"ATHENIAN";"RED-FIGURE";"";"AMPHORA, NECK";"ITALY, NOLA";"-475 to -425";"";"PHIALE P by BEAZLEY";"A: SATYRS WITH STAFFS, ONE DRAPED, ONE WITH CLOTH | B: DRAPED SATYR WITH STAFF";"Naples, Museo Archeologico Nazionale: STG240 |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 1015.22 | Beazley, J.D., Attische Vasenmaler des rotfigurigen Stils (Tubingen, 1925): 383.22 | Heinemann, A., Der Gott des Gelages. Dionysos, Satyrn und Manaden auf attischem Trinkgeschirr des 5. Jahrhunderts v. Chr. (Berlin, 2016): 328, FIG.207 (PARTS OF A) | Oakley, J.H., The Phiale Painter, Kerameus 8 (Mainz, 1990): PLS.14A-B, 33F, NO.22 (A,B)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/540FF4DE-F295-4F85-BEBB-08D886A1B2D5";9030222;"ATHENIAN";"BLACK-FIGURE";"";"KRATER, COLUMN FRAGMENT";"ATHENS";"";"";"RYCROFT P by BORGERS";"WOMAN (IN CHARIOT ?)";"Amsterdam, Allard Pierson Museum: 3572 | Athens, market | Hague, Scheurleer";"Corpus Vasorum Antiquorum: AMSTERDAM, ALLARD PIERSON MUSEUM 5, 50, PL.(575) 266.5 <a target=_blank href=browseCVARecord.asp?id={540FF4DE-F295-4F85-BEBB-08D886A1B2D5}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/354ACBCD-4DFF-4576-BF45-413E68AF99F8";44594;"ATHENIAN";"BLACK-FIGURE";"";"FRAGMENT";"SITHONIA, TORONE";"-600 to -550";"";"";"HERMES";"Torone, Museum: 84.312 |";"Praktika tes en Athenais Archaiologikes Hetaireias: (1984), PL.67A";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6F7907D1-C499-4741-B335-11997BA8E126";1009424;"ETRUSCAN";"RED-FIGURE";"";"PLATE, STEMMED";"";"";"";"";"";"Bellinzona, Museo Civico: 9 |";"Corpus Vasorum Antiquorum: OSTSCHWEIZ TICINO, 1, 40, PL.(232) 30.13 <a target=_blank href=browseCVARecord.asp?id={6F7907D1-C499-4741-B335-11997BA8E126}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/075D716D-1D67-43EB-A605-4170389FCE26";9033134;"ATHENIAN";"BLACK-FIGURE";"";"LEKANIS LID FRAGMENTS";"";"";"";"EDINBURGH P by DRAGER";"LD: CHARIOT";"Erlangen, Friedrich-Alexander-Universitat: I732.100A-B |";"Corpus Vasorum Antiquorum: ERLANGEN, ANTIKENSAMMLUNG DER FRIEDRICH-ALEXANDER-UNIVERSITAT 2, 64-65, PL.(4410) 25.3-4 <a target=_blank href=browseCVARecord.asp?id={075D716D-1D67-43EB-A605-4170389FCE26}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/27B00812-F1A1-4EA9-807B-ED2E34CB38D0";206600;"ATHENIAN";"RED-FIGURE";"";"FRAGMENT";"SYRIA, AL MINA";"-500 to -450";"";"LENINGRAD P by BEAZLEY";"MAN (KOMOS ?)";"Eton, College Museum |";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 574.15";NA;"";NA;NA;NA;NA;NA
"<a href=http://www.beazley.ox.ac.uk/record/D5A6E616-141A-482A-8591-AAB9BE5B84FB target=_blank>http://www.beazley.ox.ac.uk/record/D5A6E616-141A-482A-8591-AAB9BE5B84FB</a>";9036640;"ATHENIAN";"BLACK-FIGURE";"";"AMPHORA, NECK";"";"";"Signature: NIKOSTHENESEPOIESEN";"NIKOSTHENES POTTER by SIGNATURE";"A,B: FIGHT";"Rome, market";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 225.11 | Hoppin, A., A Handbook of Greek Black-figured Vases (Paris, 1924): NO.81 | Klein, W., Die griechischen Vasen mit Lieblingsinschriften (Leipzig, 1898): NO.18";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/041529EF-16AD-4157-A80B-E51875ED7A42";1005406;"IBERIAN";"RED PAINTED";"";"JAR";"";"";"";"";"";"Barcelona, Museo Arqueologico |";"Corpus Vasorum Antiquorum: BARCELONA, MUSEE ARCHEOLOGIQUE 2, 22, 23, PL.(147) 9 <a target=_blank href=browseCVARecord.asp?id={041529EF-16AD-4157-A80B-E51875ED7A42}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/0481171E-CE49-40BD-8E64-E9F0FF95A22F";9022105;"ATHENIAN";"BLACK-FIGURE";"WHITE GROUND";"OINOCHOE";"ITALY, ORIA";"";"";"";"BD: SPHINX SEATED ON ROCK";"Lecce, Mus. Prov. Sigismaondo Castromediano |";"Semeraro, G., en niysi, Ceramica greca e societa nel Salento arcaico (Bari, 1997): 147, FIG.90 (BD)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/0A46D837-AF84-4D34-AB4D-E97D5986C2BD";1006335;"CORINTHIAN";"BLACK-FIGURE";"ADDED COLOUR";"ALABASTRON";"";"";"";"";"";"";"Corpus Vasorum Antiquorum";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/AFB93F3F-E64B-4CB5-8CD7-562EF0A91100";31844;"ATHENIAN";"RED-FIGURE";"";"CUP FRAGMENT";"SPAIN, ULLASTRET";"-450 to -400";"";"";"I: MAN OR YOUTH SEATED ON CHAIR";"Ullastret, Museum: 2676 |";"Corpus Vasorum Antiquorum: ULLASTRET, MUSEE MONOGRAPHIQUE, 30, PL.(201) 23.3 <a target=_blank href=browseCVARecord.asp?id={AFB93F3F-E64B-4CB5-8CD7-562EF0A91100}&startRef=>View Whole CVA Plates</a> | Picazo, M., Las ceramicas aticas de Ullastret (Barcelona, 1977): PL.15.2 (I)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/90374A2C-C3DB-4500-85F9-3DB820961D57";351827;"ATHENIAN";"BLACK-FIGURE";"";"LEKYTHOS";"GREECE, PHOCIS, DELPHI";"-525 to -475";"";"HAIMON P by BEAZLEY";"BD: CHARIOT, WOMAN RUNNING, POST";"Delphi, Archaeological Museum: 2 |";"Beazley, J.D., Paralipomena (Oxford, 1971): 276";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/92AF1120-4237-40B9-9113-2CA6CDB2FAFD";9034087;"MYCENEAN";"";"";"ALABASTRON";"";"";"";"";"";"Erlangen, Friedrich-Alexander-Universitat: I580 |";"Corpus Vasorum Antiquorum: ERLANGEN, ANTIKENSAMMLUNG DER FRIEDRICH-ALEXANDER-UNIVERSITAT 1, 18, BEILAGE 9.6, PL.(3318) 5.8-10 <a target=_blank href=browseCVARecord.asp?id={92AF1120-4237-40B9-9113-2CA6CDB2FAFD}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/5CB52541-A113-4FF5-B2F6-E3DB35F09066";9025455;"ATHENIAN";"BLACK-FIGURE";"";"CUP LITTLE MASTER BAND FRAGMENT";"";"";"";"ELBOWS OUT by HANNESTAD";"PANTHER AND GOAT, PALMETTE";"Rome, Mus. Naz. Etrusco di Villa Giulia: 79995 | Rome, Castellani";"Hannestad, L., The Castellani Fragments in the Villa Giulia, Athenian black-figure, Volume 1 (Aarhus, 1989): 77, NO.86";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/DEA71B04-F37E-41E9-B409-C33138719995";1013746;"ATHENIAN GEOMETRIC";"";"";"PITCHER";"";"";"";"";"";"Prague, National Museum: 5916 |";"Corpus Vasorum Antiquorum: PRAGUE, MUSEE NATIONAL 1, 30, FIG.09, PL.(063) 13.4-5 <a target=_blank href=browseCVARecord.asp?id={DEA71B04-F37E-41E9-B409-C33138719995}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/E827433D-F146-4743-9FE3-B0A3259D4A2F";1007564;"SOUTH ITALIAN, CAMPANIAN";"RED-FIGURE";"";"LEKYTHOS, SQUAT";"";"";"";"";"";"Sevres, Musee Ceramique: 137 |";"Corpus Vasorum Antiquorum: SEVRES, MUSEE CERAMIQUE, 77, PL.(567) 38.9.17 <a target=_blank href=browseCVARecord.asp?id={E827433D-F146-4743-9FE3-B0A3259D4A2F}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/917FDB00-7508-4EE7-9CF4-74310FC0B693";9000377;"ATHENIAN";"";"";"";"";"";"";"";"";"";"";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/5A11F602-9F8E-4EA4-80D8-EE22B37589DA";1008505;"SOUTH ITALIAN, CAMPANIAN";"BLACK PATTERN";"";"LEKYTHOS";"";"";"";"";"";"Zurich, Offentliche Sammlungen: 2630 |";"Corpus Vasorum Antiquorum: ZURICH, OFFENTLICHE SAMMLUNGEN, 49, PL.(74) 32.3-4 <a target=_blank href=browseCVARecord.asp?id={5A11F602-9F8E-4EA4-80D8-EE22B37589DA}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/8C38DB89-17C4-4CBC-9D55-F217639E7492";9009975;"ITALO-CORINTHIAN";"BLACK-FIGURE";"";"ARYBALLOS";"";"";"";"";"BD: OWL AND GOATS";"Oxford, Ashmolean Museum: 1884.683 |";"Corpus Vasorum Antiquorum: OXFORD, ASHMOLEAN MUSEUM 2, 68, PL.(387) 4.27, 4.31 <a target=_blank href=browseCVARecord.asp?id={8C38DB89-17C4-4CBC-9D55-F217639E7492}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/973D3FCB-9D0A-4316-94DA-AE70456794BA";206575;"ATHENIAN";"RED-FIGURE";"";"HYDRIA FRAGMENT";"";"-500 to -450";"";"LENINGRAD P by BEAZLEY";"YOUTH SEATED";"Athens, National Museum: E4 | Athens, National Museum: 19402";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 571.83";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/E9EBC56E-40D7-42FC-AB5E-BC3431680988";216831;"ATHENIAN";"RED-FIGURE";"";"SKYPHOS";"";"-450 to -400";"";"VATICAN X5, GROUP OF by BEAZLEY";"A,B: YOUTH WITH STRIGIL";"Vatican City, Museo Gregoriano Etrusco Vaticano: X5";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 1304.1";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/AF6EAB85-CE31-4744-A4CE-3314AF2B2468";755;"ATHENIAN";"BLACK-FIGURE";"";"AMPHORA B";"";"-575 to -525";"";"";"A,B: YOUTH WITH HORSE";"Richmond (VA), University, Lora Robins Gallery: R2005.04.39 | Boston (MA), Museum of Fine Arts: 80.605";"Corpus Vasorum Antiquorum: BOSTON, MUSEUM OF FINE ARTS 1, 2, FIG.4, PL.(624) 2.3-4 <a target=_blank href=browseCVARecord.asp?id={AF6EAB85-CE31-4744-A4CE-3314AF2B2468}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/2113440B-AA3A-4A1B-B944-9E5381E39812";1013629;"ETRUSCAN";"BUCCHERO";"";"VARIOUS";"";"";"";"";"";"Copenhagen, National Museum |";"Corpus Vasorum Antiquorum: COPENHAGEN, NATIONAL MUSEUM 5, 165-166, PL.(216) 213.1 <a target=_blank href=browseCVARecord.asp?id={2113440B-AA3A-4A1B-B944-9E5381E39812}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/57E91E21-76D5-431E-AF52-BFDFC7F2D78E";9241;"ATHENIAN";"RED-FIGURE";"";"LEKANIS LID FRAGMENT";"GREECE, BOEOTIA";"-400 to -300";"";"";"GRIFFIN, GOAT ?";"Sarajevo, National Museum: 398 |";"Corpus Vasorum Antiquorum: SARAJEVO, MUSEE NATIONAL DE LA REPUBLIQUE SOCIALISTE DE BOSNIE-HERZEGOVINE, 46, PL.(167) 40.2 <a target=_blank href=browseCVARecord.asp?id={57E91E21-76D5-431E-AF52-BFDFC7F2D78E}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/5D00D238-F6A0-4EAA-A66A-BD7034401113";9014794;"VILLA NOVA";"";"";"BOWL";"";"";"";"";"";"Florence, Museo Archeologico Etrusco |";"Corpus Vasorum Antiquorum: FIRENZE, REGIO MUSEO ARCHEOLOGICO 1, IV.B.K.14, PL.(361) 7.4 <a target=_blank href=browseCVARecord.asp?id={5D00D238-F6A0-4EAA-A66A-BD7034401113}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/7A3DCE58-2658-40A7-AC75-6C0A0B86794D";1002454;"ETRUSCAN";"BUCCHERO";"";"OINOCHOE";"";"";"";"";"";"Malibu (CA), The J. Paul Getty Museum: 71.AE.200 |";"Corpus Vasorum Antiquorum: MALIBU, J. PAUL GETTY MUSEUM 6, 14-16, FIG.21, PL.(1581) 304.1-4 <a target=_blank href=browseCVARecord.asp?id={7A3DCE58-2658-40A7-AC75-6C0A0B86794D}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/A9538808-E155-4C22-B755-92368B56C26E";330471;"ATHENIAN";"BLACK-FIGURE";"";"LEKYTHOS";"";"-550 to -500";"";"COCK GROUP by BEAZLEY";"BD: MAENAD, BETWEEN SATYRS, GRAPEVINE";"Vienna, University: 739.10 |";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 469.62 | Corpus Vasorum Antiquorum: WIEN, UNIVERSITAT UND PROFESSOR FRANZ V. MATSCH, U16, PL.(200) 6.4 <a target=_blank href=browseCVARecord.asp?id={A9538808-E155-4C22-B755-92368B56C26E}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/AB259E1B-54C8-4203-A40D-A8A9A58E52F5";9021499;"ATHENIAN";"RED-FIGURE";"";"CUP FRAGMENT";"ITALY, ADRIA";"";"";"";"";"Adria, Museo Archeologico Nazionale: 43739 | Adria, Museo Archeologico Nazionale: B1379";"Wiel-Marin, F., La ceramica attica a figure rosse di Adria, La famiglia Bocchi e l'archeologia (Padova, 2005): 506, NO.2311";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/03E6EB1D-8DE1-418B-B6D5-4B9829B724F2";331310;"ATHENIAN";"BLACK-FIGURE";"WHITE GROUND";"AMPHORA, NECK";"";"-550 to -500";"";"LIGHT-MAKE CLASS by BEAZLEY";"A: KOMOS, MEN (?) | B: YOUTH IN POINTED CAP SEATED ON GROUND, VINE | UH: PANTHER";"Rome, Mus. Naz. Etrusco di Villa Giulia: M505 |";"Beazley, J.D., Attic Black-Figure Vase-Painters (Oxford, 1956): 594.4";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/36230C8C-32FC-432F-AF84-1369CDDF3C5A";1005772;"FALISCAN";"UNKNOWN";"";"VARIOUS";"";"";"";"";"";"Dusseldorf, Hetjens-Museum |";"Corpus Vasorum Antiquorum: NORDRHEIN-WESTFALEN, DUSSELDORF UND KREFELD UND NEUSS 1, 32, PL.(2386) 21 <a target=_blank href=browseCVARecord.asp?id={36230C8C-32FC-432F-AF84-1369CDDF3C5A}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/129396D0-466E-4BE8-9B2B-2AEC49F522F6";24277;"ATHENIAN";"BLACK-FIGURE";"";"CUP FRAGMENT";"GERMANY, HEUNEBURG";"-525 to -475";"";"";"MAN (?)";"Hundersingen, Heuneburgmuseum |";"Germania: 49 (1971) PL.4.24 | Kimmig, W. (ed.), Importe und mediterrane Einflusse auf der Heuneburg, Heuneburgstudien 11 (Mainz, 2000): PLS.13.9, 18.9";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6A8D0E5D-0BB6-44E5-8B33-2511E713422F";1006553;"ATHENIAN";"BLACK-FIGURE";"";"LEKYTHOS";"";"";"";"COCK GROUP";"BD: YOUTHS WITH SPEARS, SOME DRAPED, ONE SEATED ON BLOCK, SASHES SUSPENDED | SH: COCK BETWEEN LEAVES";"Frankfurt, Goethe-Universitat, Antikensammlung: 79 |";"Corpus Vasorum Antiquorum: FRANKFURT, UNIVERSITAT UND LIEBIEGHAUS 4, 36-37, PL.(3262) 17.10-13 <a target=_blank href=browseCVARecord.asp?id={6A8D0E5D-0BB6-44E5-8B33-2511E713422F}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/4D8D1D0D-676C-499C-9074-0D89045A260C";9021656;"ATHENIAN";"RED-FIGURE";"";"FRAGMENT";"ITALY, ADRIA";"";"";"";"YOUTH";"Lost | Adria, Museo Archeologico Nazionale";"Wiel-Marin, F., La ceramica attica a figure rosse di Adria, La famiglia Bocchi e l'archeologia (Padova, 2005): 518, NO.2469 (DRAWING)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/6115170C-189C-4600-8C29-84E45A39672D";9002640;"SOUTH ITALIAN, CAMPANIAN";"RED-FIGURE";"ADDED COLOUR";"AMPHORA, NECK";"";"";"";"";"";"Capua, Museo Campano: 7544 |";"Corpus Vasorum Antiquorum: CAPUA, MUSEO CAMPANO 1, IV.E.R.12, PL.(534) 26.4-6 <a target=_blank href=browseCVARecord.asp?id={6115170C-189C-4600-8C29-84E45A39672D}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"<a href=http://www.beazley.ox.ac.uk/record/07AEA651-30D5-4530-A96A-8C58802D3DA3 target=_blank>http://www.beazley.ox.ac.uk/record/07AEA651-30D5-4530-A96A-8C58802D3DA3</a>";352461;"ATHENIAN";"RED-FIGURE";"";"CUP C";"";"-525 to -475";"";"<em>Perhaps</em> EPELEIOS P by BEAZLEY";"I: YOUTH RUNNING WITH WINESKIN";"Melbourne, University: 32 | London, market, Sotheby's | Melbourne, University: 1971.0131 | Melbourne, University: MUV32";"American Journal of Archaeology: 88 (1984) PL.45, FIG.26 (I) | Archaologischer Anzeiger: 1983, 473-74, FIGS.3-5 (I,A) | Beazley, J.D., Paralipomena (Oxford, 1971): 336 | Carpenter, T.H., with Mannack, T., and Mendonca, M., Beazley Addenda, 2nd edition (Oxford, 1989): 180 | Connor, P. and Jackson, H., Greek Vases at The University of Melbourne (Melbourne, 2000): 132-133, NO.45 (COLOUR OF I AND A, PROFILE) | Kunstwerke der Antike: Munzen und Medaillen, A.G., Basel, sale catalogue: N (MAY 1971) 56-57, NO.72 (I,A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/B54A21AC-37C9-4762-AB17-6FC05EFD43D4";1013072;"EAST GREEK";"OUTLINE";"";"PLATE, STEMMED";"RHODES, KASTELLO";"";"";"";"";"Copenhagen, National Museum: 5609 |";"Corpus Vasorum Antiquorum: COPENHAGEN, NATIONAL MUSEUM 2, 56, PL.(77) 76.1 <a target=_blank href=browseCVARecord.asp?id={B54A21AC-37C9-4762-AB17-6FC05EFD43D4}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/07F9A01B-8B3E-4777-8E6A-F0A578630E5D";5409;"ATHENIAN";"BLACK-FIGURE";"";"CUP LITTLE MASTER BAND";"THERA";"";"";"";"A: SIREN BETWEEN ONLOOKERS BETWEEN PALMETTES";"Thera, collection unknown |";"Praktika tes en Athenais Archaiologikes Hetaireias: 1969, PL.242A (A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/FF9E020A-FA6F-4F17-8452-965677868B09";41875;"ATHENIAN";"RED-FIGURE";"";"CUP";"";"-500 to -450";"";"";"A: SALE OF BIRDS, MEN WITH STAFFS AND YOUTHS, ALL DRAPED, ONE WITH STAFF, ONE WITH BIRDS KNEELING AT NET WITH BIRDS, NET, SPONGE, STRIGIL, BAG, ARYBALLOS AND CLUB AND CROSS SUSPENDED | I: MAN WITH STAFF AND ARYBALLOS OR POMEGRANATE SEATED ON STOOL AND YOUTH, BOTH DRAPED, SPONGE, STRIGIL AND ARYBALLOS SUSPENDED";"London, private | New York (NY), market, Hesperia";"Chatzidimitriou, A., Parastaseis Ergasterion kai Emporiou stin Eikonographia ton Archaikon kai Klasikon Chronon (Athens, 2005): PL.54.E28 (PART OF A) | Docter, R.F. and Moormann, E.M. (eds.), Proceedings of the 15th Int. Congress of Classical Archaeology, Amsterdam, July 12-17, 1998 (Amsterdam, 1999): PL.7A (A) | Hesperia Arts Auction, Ltd., Antiquities, New York: 27.11.1990, 1, NO. 121 (COLOUR OF I AND A)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/C474C3A2-1D35-4427-BDE8-B1F767ADC9E8";217692;"ATHENIAN";"RED-FIGURE";"WHITE GROUND";"LEKYTHOS";"";"-450 to -400";"";"REED P by KAROUZOU";"BD: FUNERARY, MAN SEATED AT STELE, WOMAN";"Athens, National Museum: 1766 | Athens, National Museum: CC1713";"Beazley, J.D., Attic Red-Figure Vase-Painters, 2nd edition (Oxford, 1963): 1378.32";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/8FA520EE-1E22-4521-9580-22ABB2CF3F23";10253;"ATHENIAN";"RED-FIGURE";"";"PELIKE";"";"-475 to -425";"";"CHICAGO P by AMORELLI";"A: DRAPED YOUTHS, ONE WITH STAFF, BY PLATFORM OR ALTAR | B: WOMAN WITH PHIALE";"Pesaro, Museo Oliveriano: 3006 |";"Amorelli, M., I Materiali Archeologici Pre-Romani del Museo Oliveriano di Pesaro (Rome, 1982): PLS.84-85 (A)";NA;"";NA;NA;NA;NA;NA
"<a href=http://www.beazley.ox.ac.uk/record/12E10D47-9667-44AC-8950-FB08DCDF5805 target=_blank>http://www.beazley.ox.ac.uk/record/12E10D47-9667-44AC-8950-FB08DCDF5805</a>";9029263;"ATHENIAN";"RED-FIGURE";"";"KRATER, COLUMN";"";"";"";"";"A: KOMOS, YOUTHS, ONE DRAPED WITH STICK, ONE WITH LYRE, ONE WITH POINTED AMPHORA AND STICK | B: KOMOS, DRAPED YOUTHS, ONE WITH SKYPHOS, ONE WITH STICK";"London, market, Bonhams | France, private";"Bonhams: 28.10.2009, 100, NO.194 (COLOUR OF A AND B)";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/87FDA356-0C7E-43A9-9BE2-9042B5717367";9033371;"ETRUSCAN";"BLACK GLAZE";"ADDED COLOUR";"CUP";"";"";"";"";"";"Mannheim, Reiss-Museum: CG179 |";"Corpus Vasorum Antiquorum: MANNHEIM, REISS-MUSEUM 1, 65, PL.(639) 53.9, 53.13 <a target=_blank href=browseCVARecord.asp?id={87FDA356-0C7E-43A9-9BE2-9042B5717367}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/3BBDB4D8-9DA8-4FE6-B01C-451134CC76CC";12269;"ATHENIAN";"RED-FIGURE";"";"OINOCHOE";"";"-450 to -400";"";"";"BD: DRAPED YOUTHS, ONE WITH STAFF";"Sevres, Musee Ceramique: 81 | -, Deno Collection";"Corpus Vasorum Antiquorum: SEVRES, MUSEE CERAMIQUE, 38, PL.(550) 21.2.5 <a target=_blank href=browseCVARecord.asp?id={3BBDB4D8-9DA8-4FE6-B01C-451134CC76CC}&startRef=>View Whole CVA Plates</a>";NA;"";NA;NA;NA;NA;NA
"http://www.beazley.ox.ac.uk/record/3B87781B-1B18-4541-932F-E47E9AF1EFF9";18956;"ATHENIAN";"RED-FIGURE";"";"KRATER, COLUMN FRAGMENT";"ATHENS, AGORA";"-525 to -475";"";"KLEOPHRADES P by MOORE";"SATYR WITH LEOPARD SKIN";"Athens, Agora Museum: P4242 |";"The Athenian Agora, Results of Excavations conducted by the American School of Classical Studies at Athens: 30, PL.29.203";NA;"";NA;NA;NA;NA;NA
